,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"New Tigrigna Song "" Yehabralo Hezebi ! "" by Ermias Kahsay by Erka Tube 7 years ago 5 minutes, 44 seconds 2,601 views",Erka Tube,"2,601","2,615",14
1,"New Tigrigna song  Nsaya by Ermias Kahsay . .ንሳያ ኤርምያስ ካህሳይ by Erka Tube 8 years ago 6 minutes, 20 seconds 1,265 views",Erka Tube,"1,265","1,272",7
2,"New Tigrigna Music Clip by Ermias Kahsay ""Nsaya"" . ንሳያ ኤርምያስ ካህሳይ by Erka Tube 8 years ago 6 minutes, 20 seconds 7,829 views",Erka Tube,"7,829","7,836",7
3,"Zemen Alemseged Goitay  Belni New Tigrigna Music. by Erka Tube 8 years ago 6 minutes, 35 seconds 502,492 views",Erka Tube,"502,492","505,098",2606
4,"New Tigrigna music by Ermias Kahsay  ''Debes Tegbar Yekun ! '' by Erka Tube 9 years ago 4 minutes, 37 seconds 2,270 views",Erka Tube,"2,270","2,271",1
5,"New Tigrigna Song Ajoki !!! by Ermias Kahsay by Erka Tube 9 years ago 6 minutes 4,696 views",Erka Tube,"4,696","4,704",8
