,Posts,Channel,Views_03/03,Views_03/12,view_delta
31,"Asfaw Gebrecherkos ZATIGRAYADEY (ዛ ትግራይ ዓደይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 6 minutes, 15 seconds 14,414 views",Awash Entertainment,14414,14425,11
32,"Solomon G/Slassie Desalegn Mengustu SHELUMULEY  New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 8 minutes, 8 seconds 51,443 views",Awash Entertainment,51443,51479,36
33,"Ephrem Haylay Hnsa G/Hiwot TAAZEBOM(ታዓዘቦም) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 34 seconds 55,602 views",Awash Entertainment,55602,55677,75
34,"Zayd Abrahaley WANINEY (ዋኒነይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 4 seconds 6,860 views",Awash Entertainment,6860,6866,6
35,"Tuom Hailu  BSALAKUM (ብሳላኩም) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 5 seconds 15,044 views",Awash Entertainment,15044,15052,8
36,"New Ethiopian Tigrigna Comedy 2020 MENSUTA (መንሱታ) by Awash Entertainment 1 year ago 28 minutes 1,037 views",Awash Entertainment,1037,1040,3
37,"Ras_Willy_Moto_ft_Slassian_Recordes_  JOROYALEWYSMA ጆሮ ያለው ይስማ New Ethiopian music 2020 by Awash Entertainment 1 year ago 3 minutes, 53 seconds 3,582 views",Awash Entertainment,3582,3585,3
38,"Abraham G/yohans ALEM (ዓለም) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 11 seconds 38,301 views",Awash Entertainment,38301,38350,49
39,"Haftom Muez & Muluberhan kahsay -YEKLLELNA(የቅልለልና) New Tigrigna Music 2020(Official Video) by Awash Entertainment 1 year ago 3 minutes, 24 seconds 3,027 views",Awash Entertainment,3027,3033,6
40,"Lidya Birhanu  SYE (ስየ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 55 seconds 6,784 views",Awash Entertainment,6784,6809,25
41,"nash ft. epxi ''ናተይ'' natey  New Ethiopian Music 2020(Official Video) by Awash Entertainment 1 year ago 3 minutes, 56 seconds 3,168 views",Awash Entertainment,3168,3173,5
42,"New Ethiopian Tigrigna Comedy 2020  ሽሙን ወርቅን SHEMUN WERQEN by Awash Entertainment 1 year ago 4 minutes, 32 seconds 2,778 views",Awash Entertainment,2778,2780,2
43,"New Ethiopian Tigrigna Comedy 2020 Goytom Tewelde (Wedi Kuras) ኮሮና  CORONA by Awash Entertainment 1 year ago 2 minutes, 55 seconds 5,888 views",Awash Entertainment,5888,5893,5
44,"Hray Asfaw(gal zamra) MEHENEN(መሀነን) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 1 year ago 5 minutes, 46 seconds 10,042 views",Awash Entertainment,10042,10052,10
45,"Zekarias gebretsadik ABHADE NSMER (ኣብ ሓደ ንስመር) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 4 minutes, 46 seconds 6,061 views",Awash Entertainment,6061,6066,5
46,"ጠርጣራው  ስቡሕ ኣብ መክፈቲ ፓነል ምይይጥ 11 የካቲት by Awash Entertainment 2 years ago 7 minutes, 21 seconds 3,247 views",Awash Entertainment,3247,3261,14
47,"Awet Lijalem  SEMAETATINA(ሰማእታትና )Ft Rahwa Yemane New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 13 seconds 16,108 views",Awash Entertainment,16108,16111,3
48,"ንሕና  ዊንታ/ወዲ ረሚጥ/ ኣበበ  ኣርኣያ ን ኣብ መክፈቲ ፓነል ምይይጥ 11 የካቲት by Awash Entertainment 2 years ago 6 minutes, 44 seconds 14,660 views",Awash Entertainment,14660,14668,8
49,"(ቆቃሓት) ሙዚቃዊ ድራማ ኣብ መክፈቲ ፓነል ምይይጥ 11 የካቲት by Awash Entertainment 2 years ago 21 minutes 12,525 views",Awash Entertainment,12525,12539,14
50,"Timnit Welday ft. Ephrem Amare - Mizekerkani doትምኒት  ምስ ኤፍሬም  መክፈቲ ፓነል ምይይጥ 11 የካቲት  ምለለኻኒ ዶ ? by Awash Entertainment 2 years ago 5 minutes, 54 seconds 159,627 views",Awash Entertainment,159627,159743,116
51,"Tommy JEE  (BADO HADE)~ባዶ ሓደ~- New Ethiopian Music 2020(Official Video) by Awash Entertainment 2 years ago 3 minutes, 38 seconds 1,905 views",Awash Entertainment,1905,1907,2
52,"Tesfay Zeray ALENA DO (ኣለና ዶ? ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 6 minutes, 14 seconds 18,887 views",Awash Entertainment,18887,18904,17
53,"Tahguas Teshome -SEGEN (ሰገን ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 4 minutes, 37 seconds 24,618 views",Awash Entertainment,24618,24626,8
54,"Berhe Kahsay -WUDBEY(ዉድበይ)New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 6 minutes, 16 seconds 20,993 views",Awash Entertainment,20993,21004,11
55,"Abedom G/slase # ABAY TIGRAY( ኣባይ ትግራይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 7 minutes, 25 seconds 73,908 views",Awash Entertainment,73908,73932,24
56,"Yapi Mapi ft John Haftu (BITSAY)~ብፃይ~- New Ethiopian Music 2020(Official Video) by Awash Entertainment 2 years ago 7 minutes, 24 seconds 57,451 views",Awash Entertainment,57451,57488,37
57,"Zenawi Hailemariam& Husen Ali Barahle(ሓደ ኢና) New Ethiopian Tigrigna Music 2020 (Official Video by Awash Entertainment 2 years ago 4 minutes, 25 seconds 12,168 views",Awash Entertainment,12168,12196,28
58,"ዳይ ዳይ X-DOP BOYZ-Ona Jany & MillGas Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 3 minutes, 57 seconds 5,493 views",Awash Entertainment,5493,5502,9
59,"Girmay Gebrehiwet -MENDINA(መን ዲና)New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 12 seconds 12,063 views",Awash Entertainment,12063,12072,9
60,"Tsigabu Teshale AWRERU (ኣውረሩ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 6 minutes, 8 seconds 1,206,109 views",Awash Entertainment,1206109,1211787,5678
61,"Birhanu Abrha MEDHANITEY(መድሓኒተይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 15 seconds 6,715 views",Awash Entertainment,6715,6721,6
62,"KMS BELI NG FT G-M New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 3 minutes, 24 seconds 5,388 views",Awash Entertainment,5388,5394,6
63,"Amanual Tesfay (ማእከል ትግራይ ንዕናይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 6 minutes, 45 seconds 209,539 views",Awash Entertainment,209539,209964,425
64,"Abraham G/yohans EDLEY (ዕድለይ) New Ethiopian Tigrigna Music 2020 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 17 seconds 14,032 views",Awash Entertainment,14032,14038,6
65,"Husen Ali Barahle HALEWAT (ሃለዋት)  New Ethiopian Music 2019 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 7 seconds 5,901 views",Awash Entertainment,5901,5927,26
66,"Ashmelash Teklay (ወዲ ጅግና) New Ethiopian Music 2019 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 14 seconds 2,695 views",Awash Entertainment,2695,2698,3
67,"New Ethiopian Tigrigna Comedy 2019 Goytom Tewelde (Wedi Kuras)  ማዓር ኣፉ Maare Auf by Awash Entertainment 2 years ago 8 minutes, 48 seconds 8,762 views",Awash Entertainment,8762,8767,5
68,"Gush kahsay  (Melsi HABI Meryet) ''መልሲ ሃቢ መርየት'' New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 35 seconds 9,957 views",Awash Entertainment,9957,9961,4
69,"Ashu Ft Ashu  (Kaf Alewa)'' ኬፍ ኣለዋ '' New Ethiopian Tigrigna Music 2019 (Official Video by Awash Entertainment 2 years ago 3 minutes, 57 seconds 280,214 views",Awash Entertainment,280214,280512,298
70,"Yohannes  G/Tsadiq (HADNETNA)'' ሓድነትና '' New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 33 seconds 78,254 views",Awash Entertainment,78254,78270,16
71,"Sofia Atsbeha ''ኣብዚዓጋመ ማይ ደለዎ ማየ''  Live@ Meskel Tigray Agame 2012 by Awash Entertainment 2 years ago 8 minutes, 26 seconds 2,945 views",Awash Entertainment,2945,2963,18
72,"Solomon Haile Live@Meskel Tigray Agame 2012 by Awash Entertainment 2 years ago 10 minutes, 1 second 11,891 views",Awash Entertainment,11891,11989,98
73,"Mulubrhan Fiseha (Wari-Wedizom) ዋሪ ወዲ'ዞም@Meskel Tigray Agame 2012 by Awash Entertainment 2 years ago 11 minutes, 16 seconds 3,152 views",Awash Entertainment,3152,3165,13
74,"Haftom Gebreselassie (FTAY FTAY) ''ፍታይ ፍታይ '' New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 6 minutes, 39 seconds 347,511 views",Awash Entertainment,347511,347686,175
75,"Tmnit Welday Kiatwa demo Live ''DAMERA''@Meskel Tigray Agame 2012 by Awash Entertainment 2 years ago 11 minutes, 18 seconds 3,653 views",Awash Entertainment,3653,3674,21
76,"Ephrem Teklit  ''AJOKI TIGRAY''(ኣጆኪ ትግራይ) New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 11 seconds 8,558 views",Awash Entertainment,8558,8568,10
77,"Yewelad Mekan Ager (የወላድ መካን አገር) ዳሪክ ነጋሽ (ኣረጋ) by Awash Entertainment 2 years ago 6 minutes, 29 seconds 1,085 views",Awash Entertainment,1085,1088,3
78,"Nguse Abadi - ZEMAY (ዘማይ)  Live@Meskel Tigray Agame 2012 by Awash Entertainment 2 years ago 11 minutes, 15 seconds 10,161 views",Awash Entertainment,10161,10227,66
79,"Tmnit Welday Kiatwa demo Live@Meskel Tigray Agame 2012 by Awash Entertainment 2 years ago 11 minutes, 17 seconds 8,512 views",Awash Entertainment,8512,8530,18
80,"Legesse Hailemariam ''Terakibom do''(ተራኪቦም'ዶ) New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 7 minutes, 1 second 11,900 views",Awash Entertainment,11900,11908,8
81,"Dejen Tsigab ''AB AGAME (ኣብ ዓጋመ ) New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 58 seconds 44,460 views",Awash Entertainment,44460,44492,32
82,"Teklay Berhe Chlfit & Tesfu Teklay ''ሓይልካ ጥበብ'ዮ'' New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 5 minutes, 38 seconds 62,563 views",Awash Entertainment,62563,62934,371
83,"""ኩነታት ግድብ ገረብ ግባ ግልጺ ዘይኾነሉ ምኽንያት የጠራጥር እዩ።"" by Awash Entertainment 2 years ago 34 minutes 8,807 views",Awash Entertainment,8807,8808,1
84,"Girmay Tesfay ግርማይ ተስፋይ''ወያናይ '' በ ድሮን የተቀረፀ Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 5 minutes, 21 seconds 2,084 views",Awash Entertainment,2084,2088,4
85,"Mulugeta Kahsay ወዲ ሮሚጥ''ሓወልተይ '' በ ድሮን የተቀረፀ Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 10 minutes, 4 seconds 1,653 views",Awash Entertainment,1653,1659,6
86,"Huluf  Tewelde ''MESILWOM''(መሲልዎም)New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 5 minutes, 5 seconds 34,518 views",Awash Entertainment,34518,34536,18
87,"ALEM G/Hiwet(BAHLNA) ''ባህልና''New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 5 minutes, 55 seconds 11,287 views",Awash Entertainment,11287,11293,6
88,"Tikue Woldu - Tigray Milibama ኣብ ትግራይ ምልባማ ኮንሰርት ሓድሽ ዓመት by Awash Entertainment 2 years ago 6 minutes, 37 seconds 2,048 views",Awash Entertainment,2048,2052,4
89,"Mizan tesfay ሚዛን ተስፋይ ''ንትግራይ'' ኣብ ትግራይ ምልባማ ኮንሰርት ሓድሽ ዓመት by Awash Entertainment 2 years ago 10 minutes, 11 seconds 1,451 views",Awash Entertainment,1451,1453,2
90,"Zemen Alemseged ኣብ ትግራይ ምልባማ ኮንሰርት ሓድሽ ዓመት by Awash Entertainment 2 years ago 7 minutes, 57 seconds 8,451 views",Awash Entertainment,8451,8460,9
91,"Kiros G/medhin(TIGRAWAY) ''ትግራዋይ''New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 7 minutes, 28 seconds 719,417 views",Awash Entertainment,719417,719603,186
92,"Timnit Welday - Wenani ''ወናኒ''ኣብ ትግራይ ምልባማ ኮንሰርት ሓድሽ ዓመት by Awash Entertainment 2 years ago 7 minutes, 27 seconds 2,968 views",Awash Entertainment,2968,2972,4
93,"Muez G/ hiwot  Hber '' ሕበር''New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 5 minutes, 16 seconds 33,613 views",Awash Entertainment,33613,33623,10
94,"AndSewuye (አንድ ሰውየ) New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 5 minutes, 53 seconds 150,607 views",Awash Entertainment,150607,150683,76
95,"Zemen Alemseged Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 9 minutes, 2 seconds 60,657 views",Awash Entertainment,60657,60684,27
96,"Birtukuan Mebrahtu - Gere Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 14 minutes, 37 seconds 21,703 views",Awash Entertainment,21703,21709,6
97,"Mulugeta Kahsay - Asheweyna (አሸወይና) Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 14 minutes, 37 seconds 12,650 views",Awash Entertainment,12650,12658,8
98,"Birhanu Mache - Ayam Belu  Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 10 minutes, 5 seconds 25,654 views",Awash Entertainment,25654,25670,16
99,"Solomon Bayre - Merkeb | መርከብ Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 8 minutes, 58 seconds 39,935 views",Awash Entertainment,39935,39945,10
100,"Tiemtu Gebrehiwet - Kuhlo | ኩሕሎ Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 13 minutes, 4 seconds 11,868 views",Awash Entertainment,11868,11873,5
101,"Mekuanent Melesse Live @ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 8 minutes, 27 seconds 542,774 views",Awash Entertainment,542774,543434,660
102,"Zafu Kiros - Ashenda ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 13 minutes, 25 seconds 58,049 views",Awash Entertainment,58049,58095,46
103,"Tigrigna Poem by Awot Wedaje ዓይኒ ዋሪ ኣክሱም || Axum Ayni Wari CONCERT 2011 by Awash Entertainment 2 years ago 5 minutes, 29 seconds 30,557 views",Awash Entertainment,30557,30562,5
104,"Arena Tigray Press Release Nehase 23/2011 EC by Awash Entertainment 2 years ago 23 minutes 1,687 views",Awash Entertainment,1687,1696,9
105,"ABRHALEY AZENAW ''NBERELNA''(ንበረልና)New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 4 minutes, 7 seconds 35,229 views",Awash Entertainment,35229,35236,7
106,"Kibrom Birhane - Ari (ዓሪ)  ASHENDA CONCERT 2011 by Awash Entertainment 2 years ago 13 minutes, 57 seconds 23,431 views",Awash Entertainment,23431,23443,12
107,"Tiemtu G/hiwet - Bikebero Tiri ASHENDA CONCERT 2011 by Awash Entertainment 2 years ago 11 minutes, 4 seconds 11,221 views",Awash Entertainment,11221,11224,3
108,"Elsa Weldejewergs - Hreseley ASHENDA CONCERT 2011 by Awash Entertainment 2 years ago 8 minutes, 30 seconds 578,574 views",Awash Entertainment,578574,579720,1146
109,"Tikue Woldu - Tigray Milibama  ASHENDA CONCERT 2011 by Awash Entertainment 2 years ago 6 minutes, 14 seconds 24,655 views",Awash Entertainment,24655,24659,4
110,"Birtukuan Mebrahtu - Awaldo | ኣዋልዶ / ASHENDA CONCERT 2011 by Awash Entertainment 2 years ago 10 minutes, 30 seconds 130,334 views",Awash Entertainment,130334,130409,75
