,Posts,Channel,Views_03/03,Views_03/12,view_delta
49,"Nigusu Tamirat-Haadhakko (Offical Video) Ethiopian Music by Evangadi Production 4 years ago 7 minutes, 33 seconds 20,209 views",Evangadi Production,20209,20274,65
50,"Dawit Nega - Wesida Mizan(ወሲዳ ሚዛን) Cultural Ethiopian Music 2017 ዳዊት ነጋ (Official Video) by Evangadi Production 4 years ago 7 minutes, 7 seconds 12,163 views",Evangadi Production,12163,12169,6
51,"Yiirdaw Tenaw - Yegeter Temer Ethiopian Music(Official Video) by Evangadi Production 4 years ago 4 minutes, 6 seconds 3,672 views",Evangadi Production,3672,3693,21
52,"Yarad Belay - Dumbusho New Ethiopian music 2017(Official Video) by Evangadi Production 4 years ago 5 minutes, 15 seconds 1,547 views",Evangadi Production,1547,1554,7
53,"Nati Haile - Kene saymese Ethiopian Music(Official Video) by Evangadi Production 4 years ago 5 minutes, 4 seconds 9,793 views",Evangadi Production,9793,9828,35
54,"Bitsat Seyoum - Enisebaseb Ethiopian Music (Official video) by Evangadi Production 4 years ago 7 minutes, 22 seconds 58,846 views",Evangadi Production,58846,59317,471
55,"Alemayehu Hirpo - Temecesewey Ethiopian Music(Official video) by Evangadi Production 4 years ago 5 minutes, 1 second 120,389 views",Evangadi Production,120389,122653,2264
56,"Abraham Gebremedhin - Tedebise Ethiopian Music(Official video) by Evangadi Production 4 years ago 5 minutes, 1 second 6,364 views",Evangadi Production,6364,6370,6
57,"Yared Belay -Yhem Aydel Ehiopian music 2017 by Evangadi Production 4 years ago 5 minutes, 9 seconds 931 views",Evangadi Production,931,935,4
58,"Almaze -Abel Rasta Ethiopia Music 2017 by Evangadi Production 4 years ago 4 minutes, 30 seconds 1,678 views",Evangadi Production,1678,1682,4
59,"Tilahun Gessesse -Ethiopia by Evangadi Production 4 years ago 7 minutes, 5 seconds 8,986 views",Evangadi Production,8986,9017,31
60,"Nigusu Tamirat-Yaniko (Offical Video) by Evangadi Production 4 years ago 5 minutes, 12 seconds 53,108 views",Evangadi Production,53108,53297,189
61,"Daniel Tilahun Gessesse - Ethiopaian Atenku(Official Video)2017 by Evangadi Production 4 years ago 4 minutes, 28 seconds 38,818 views",Evangadi Production,38818,38895,77
62,"Muluken Dawit - Gojam (official Audio) New Ethiopian Music 2017 by Evangadi Production 4 years ago 5 minutes, 1 second 6,712 views",Evangadi Production,6712,6718,6
63,"Bezuayehu Demise - Bati(Official Video) Ethiopian Music by Evangadi Production 4 years ago 6 minutes, 9 seconds 7,692 views",Evangadi Production,7692,7751,59
64,"Rase Jany - Jedime New Ethiopian Music 2017(Official Video) by Evangadi Production 4 years ago 4 minutes, 23 seconds 948 views",Evangadi Production,948,949,1
65,"Tsedenia G/Markose - Konjo Mesay(Official Video)Ethiopian Music by Evangadi Production 4 years ago 5 minutes, 42 seconds 1,547 views",Evangadi Production,1547,1549,2
66,"Muhammed Awol Ethiopian Menzuma ,እንጉርጉሮ, Mote, ( ENGURGURO ) 1 by Evangadi Production 4 years ago 27 minutes 184,706 views",Evangadi Production,184706,184884,178
67,"Muhammed Awol Ethiopian Menzuma ,እንጉርጉሮ, khedija, ( ENGURGURO)2 by Evangadi Production 4 years ago 29 minutes 14,432 views",Evangadi Production,14432,14476,44
68,"Mahmoud Ahmed The Legend (Documentary) Ethiopia Music 2017 by Evangadi Production 4 years ago 26 minutes 7,995 views",Evangadi Production,7995,8026,31
69,"Yenegestat Tarik (Ethiopian history) by Evangadi Production 4 years ago 55 minutes 235,606 views",Evangadi Production,235606,236576,970
70,"Abinet Agonafer - Ateregemat Ethiopian Music by Evangadi Production 5 years ago 5 minutes, 42 seconds 8,564 views",Evangadi Production,8564,8601,37
71,"Nigusu Tamirat ( Official Video) Ethiopian Music by Evangadi Production 5 years ago 6 minutes, 21 seconds 2,765 views",Evangadi Production,2765,2774,9
72,"Dangerous Crossing-Dawit Nega, Tadele Roba, Yeshi Demelash New Ethiopian Music  2017 by Evangadi Production 5 years ago 5 minutes, 25 seconds 9,659 views",Evangadi Production,9659,9661,2
73,"Nigusu Tamirat (Official Video) Ethiopian Music by Evangadi Production 5 years ago 6 minutes, 19 seconds 4,741 views",Evangadi Production,4741,4751,10
74,"Nigusu Tamirat Jaalala Dhugaa
(Official Video) Ethiopian Music by Evangadi Production 5 years ago 7 minutes, 21 seconds 700,662 views",Evangadi Production,700662,704459,3797
75,"Antene Worqu Tegereda (official audio) Ethiopian Music by Evangadi Production 5 years ago 6 minutes, 6 seconds 1,905 views",Evangadi Production,1905,1944,39
76,"Antene Worqu Yegeremal(official audio) Ethiopian Music by Evangadi Production 5 years ago 5 minutes, 27 seconds 6,805 views",Evangadi Production,6805,6843,38
77,"Antena Worqu Yeheweta Tesfa(official audio) Ethiopian Music by Evangadi Production 5 years ago 3 minutes, 12 seconds 2,898 views",Evangadi Production,2898,2954,56
78,"Antene Worqu Yehoden Awteca(official audio) Ethiopian Music by Evangadi Production 5 years ago 5 minutes, 39 seconds 2,418 views",Evangadi Production,2418,2437,19
79,"Antene Worqu Feker Kena Endayeleyen(offical  audio) Ethiopian Music by Evangadi Production 5 years ago 4 minutes, 8 seconds 2,734 views",Evangadi Production,2734,2790,56
80,"Antene Worqu Anchi Endemtwjine( official audio) Ethiopian Music by Evangadi Production 5 years ago 4 minutes, 3 seconds 5,934 views",Evangadi Production,5934,6135,201
81,"SamiDan Anchi Yene (Official Video) Ethiopian Music by Evangadi Production 5 years ago 4 minutes, 2 seconds 668 views",Evangadi Production,668,675,7
82,"Yalnorkut Lijinet New Ethiopian Movie 2016 by Evangadi Production 5 years ago 1 hour, 30 minutes 427,844 views",Evangadi Production,427844,428064,220
83,"Jacky Gosee Amsterdam Closing Night Fim Esat Ethiopian Music by Evangadi Production 5 years ago 1 minute, 25 seconds 10,919 views",Evangadi Production,10919,10919,0
