,Posts,Channel,Views_03/03,Views_03/12,view_delta
30,"ela tv - Tesfit Emeha - Faye - Tsmwa | ጽምዋ - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 6 months ago 5 minutes, 14 seconds 47,747 views",ELLA RECORDS,47747,47823,76
31,"ela tv - Mengs Mangato - Fegeg Tehasimki - New Eritrean Music 2021    ( Official Music Video ) by ELLA RECORDS 6 months ago 5 minutes, 52 seconds 34,667 views",ELLA RECORDS,34667,34716,49
32,"ela tv - Silvana Mehari - Tsilaley - New Eritrean Music 2021 - Coming Soon by ELLA RECORDS 6 months ago 43 seconds 81,907 views",ELLA RECORDS,81907,81963,56
33,"ela tv - Henok Mehari - Zewdnat - New Ethiopian Music 2021 - ( Official Music Video ) by ELLA RECORDS 6 months ago 4 minutes, 4 seconds 44,615 views",ELLA RECORDS,44615,44839,224
34,"Robel G/mariam - Robi - Lomi Nabey - New Eritrean Music 2021 - (Official Video) - Tigrinia Music by ELLA RECORDS 6 months ago 5 minutes, 33 seconds 207,474 views",ELLA RECORDS,207474,208549,1075
35,"Yohanna Solomon - Rubi -  feat. Sani Alem - Mexyu Gziey - New Eritrean Music 2021 - (Official Video) by ELLA RECORDS 6 months ago 4 minutes, 40 seconds 184,196 views",ELLA RECORDS,184196,184477,281
36,"ela tv - Santo Michael - Adey - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 6 months ago 3 minutes, 20 seconds 35,097 views",ELLA RECORDS,35097,35180,83
37,"ela tv - Salina Tekle - Nxemem - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 6 months ago 4 minutes, 37 seconds 53,920 views",ELLA RECORDS,53920,54006,86
38,"ela tv - Abel Melake - Beqem - Zendo - New Eritrean Music 2021 - (Official  Video ) - Tigrinia Music by ELLA RECORDS 6 months ago 5 minutes, 15 seconds 205,422 views",ELLA RECORDS,205422,205782,360
39,"ela tv - Abraham Alem - Abi - Menina - New Eritrean Music 2021 - (Official  Video) -Tigrigna music by ELLA RECORDS 6 months ago 5 minutes, 9 seconds 240,259 views",ELLA RECORDS,240259,240662,403
40,"ela tv - Yonas H/michael - Baru - Aykelon'ye - New Eritrean Music 2021  - ( Official Music Video ) by ELLA RECORDS 6 months ago 4 minutes, 36 seconds 30,645 views",ELLA RECORDS,30645,30676,31
41,"ela tv - Awet Tekie | Tina - Wela Aykeseb - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 6 months ago 4 minutes, 21 seconds 102,498 views",ELLA RECORDS,102498,102722,224
42,"ela tv - Rahel Kibreab - Aytegurhani - New Eritrean Music 2021 - (Official  Video) - Tigrinia Music by ELLA RECORDS 6 months ago 5 minutes, 17 seconds 160,174 views",ELLA RECORDS,160174,160456,282
43,"ela tv - Helen Meles - Kemey ele - New Eritrean Music 2021 - ( Official Video ) - Tigrinya Music by ELLA RECORDS 6 months ago 5 minutes, 56 seconds 1,723,911 views",ELLA RECORDS,1723911,1762119,38208
44,"ela tv - Brhane Yemane - Warsay - Sebeney - New Eritrean Music 2021    ( Official Music Video ) by ELLA RECORDS 6 months ago 6 minutes, 16 seconds 29,483 views",ELLA RECORDS,29483,29564,81
45,"Ethiopian Music 2021 - Rahel Gebremedhn - Tadelhal - New Ethiopian Music 2021 - (Official Video) by ELLA RECORDS 7 months ago 4 minutes, 3 seconds 101,658 views",ELLA RECORDS,101658,101805,147
46,"Eritrean Music 2021 - Sadat Ahmed - Shibo - New Eritrean Music 2021 - [ Official Music Video ] - by ELLA RECORDS 7 months ago 5 minutes, 12 seconds 275,659 views",ELLA RECORDS,275659,276278,619
47,"ela tv - Filmon Fshaye - Filawi - Nay - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 7 months ago 5 minutes, 33 seconds 34,764 views",ELLA RECORDS,34764,34827,63
48,"ela tv - Henok Mehari feat Chellina - Yhe qen - New Ethiopian Music 2021 - [Official Audio] by ELLA RECORDS 7 months ago 3 minutes, 50 seconds 12,270 views",ELLA RECORDS,12270,12391,121
49,"ela tv - Henok Mehari - Ewnet - New Ethiopian Music 2021 - [ Official Audio ] by ELLA RECORDS 7 months ago 3 minutes, 47 seconds 4,027 views",ELLA RECORDS,4027,4065,38
50,"ela tv - Henok Mehari - Tibeb - New Ethiopian Music 2021 - [ Official Audio ] by ELLA RECORDS 7 months ago 4 minutes, 2 seconds 3,975 views",ELLA RECORDS,3975,4026,51
51,"ela tv - Henok Mehari - Ayderegim - New Ethiopian Music 2021 - [ Official Audio ] by ELLA RECORDS 7 months ago 4 minutes, 5 seconds 3,273 views",ELLA RECORDS,3273,3294,21
52,"ela tv - Henok Mehari - Zewd Nat- New Ethiopian Music 2021 - [ Official Audio ] by ELLA RECORDS 7 months ago 3 minutes, 34 seconds 4,748 views",ELLA RECORDS,4748,4812,64
53,"ela tv - Henok Mehari - Yemister wedaj - New Ethiopian Music 2021 - [ Official Audio ] by ELLA RECORDS 7 months ago 3 minutes, 23 seconds 3,352 views",ELLA RECORDS,3352,3375,23
54,"ela tv - Henok Mehari ft Gilad & Qritiqal - Kukulu   - New Ethiopian Music 2021 - [ Official Audio ] by ELLA RECORDS 7 months ago 4 minutes, 14 seconds 3,426 views",ELLA RECORDS,3426,3462,36
55,"ela tv - Henok Mehari - Kulun - New Ethiopian Music 2021 - [ Official Audio ] by ELLA RECORDS 7 months ago 3 minutes, 22 seconds 2,492 views",ELLA RECORDS,2492,2506,14
