,Posts,Channel,Views_03/03,Views_03/12,view_delta
30,"Ethiopian Comedy - Comedian Tomas  Best Vine HD 2020 | ኮሜድያን ቶማስ by Habesha Times 1 year ago 8 minutes, 1 second 210,504 views",Habesha Times,210504,212304,1800
31,"Comedian Tomas - Banana (ባናና) - New Ethiopian Music 2020 (Official Trailer) by Habesha Times 1 year ago 57 seconds 3,063 views",Habesha Times,3063,3078,15
32,"Lemlem Hailemichael - Lalibela | ላሊበላ - New Ethiopian Music 2020 (Official Trailer) by Habesha Times 1 year ago 47 seconds 4,457 views",Habesha Times,4457,4500,43
33,"""ድፍን 19 አመት ሞላኝ"" አነጋጋሪዋ ተዋናይት ሳሮን አየልኝ | Saron Ayelign by Habesha Times 1 year ago 50 seconds 18,079 views",Habesha Times,18079,18108,29
34,"Teddy Afro የዳዊት ፅጌን (ቻል ዘንድሮ) ሙዚቃ ዘፈነ | Dawit Tsige's song by Teddy Afro | NEW ETHIOPIAN MUSIC 2020 by Habesha Times 1 year ago 5 minutes, 34 seconds 4,899 views",Habesha Times,4899,4908,9
35,"Temesgen G/Egziabher (Temu) - Web Laynor | ተመስገን ገ/እግዚአብሔር (ተሙ) - ውብ ላይኖር | Ethiopian Music Lyrics by Habesha Times 1 year ago 4 minutes, 40 seconds 67,990 views",Habesha Times,67990,68307,317
36,"New Ethiopian Nonstop Music 2020 | የ 2020 የተመረጡ አዳዲስ ዘፈኖች | Ethiopian Song Collection by Habesha Times 1 year ago 41 minutes 27,487 views",Habesha Times,27487,27558,71
37,"አስቂኝ የጎዳና ላይ ጥያቄ እና መልሶች #2 | ሰው ከ ግመል ወይስ ከ ጉማሬ ነው የመጣው? | Funny Ethiopian Street Quiz by Habesha Times 1 year ago 6 minutes, 42 seconds 851 views",Habesha Times,851,859,8
38,"አዝናኝ የጎዳና ላይ ጥያቄ እና መልሶች | Funny Ethiopian Street Quiz | ዘጠነኛው ሺ | Chubaw | Ethiopian Comedy by Habesha Times 1 year ago 9 minutes, 26 seconds 1,306 views",Habesha Times,1306,1310,4
39,"Zebiba Girma (Yamal Qenew) ""ዘቢባ ከልጇ ጋር በያማል ቅኔው አዲስ ዘፈን"" by Habesha Times 1 year ago 1 minute, 16 seconds 7,892 views",Habesha Times,7892,7900,8
40,"ዘጠነኛው ሺ - አቡ V.s ጩባው😂  | Million Birhane & Surafel Bisrat | Chubaw & Abu Jokes by Habesha Times 1 year ago 12 minutes, 41 seconds 4,898 views",Habesha Times,4898,4925,27
41,"Zebiba Girma (YAMAL QENEW) ዘቢባ ግርማ (ያማል ቅኔው) - New Ethiopian Music 2020(Trailer) by Habesha Times 1 year ago 1 minute, 25 seconds 6,673 views",Habesha Times,6673,6681,8
42,"ፈታ ፈታ😂: Comedian Tomas - ""እፀልይልሻለው😂"" / ኮሜዲያን ቶማስ by Habesha Times 1 year ago 1 minute, 47 seconds 14,334 views",Habesha Times,14334,14504,170
43,"Hayleyesus Feyssa - Emelalew (እምላለው) | New Ethiopian Music 2020 (Official Lyrics) by Habesha Times 1 year ago 5 minutes, 3 seconds 40,849 views",Habesha Times,40849,41372,523
44,"TEDDY AFRO - DEMO BE ABAY - ደሞ በአባይ - [New! Official Music Lyrics 2020] by Habesha Times 1 year ago 4 minutes, 42 seconds 56,905 views",Habesha Times,56905,56939,34
45,"ታዋቂው ሙዚቀኛ ሀጫሉ ሁንዴሳ ለምን ተገደለ? | Haccaluu Hundeessaan Xiyyitidhan Mallif Ajjeefame😖 by Habesha Times 1 year ago 9 minutes, 25 seconds 1,621 views",Habesha Times,1621,1623,2
46,"🔴 ሀጫሉ ተቀበል! | Hachalu Hundessa vs Minilk | ""የሚኒሊክ ሀውልት መፍረስ አለበት"" | OMN ላይ የተላለፈው interview በአማርኛ by Habesha Times 1 year ago 14 minutes, 6 seconds 4,238 views",Habesha Times,4238,4315,77
47,"ፈታ ፈታ😁: Seifu On EBS (አንጃይተር | ንግስት ፍቅሬ) - Nigist Fikre | እንዲህም አለ እንዴ by Habesha Times 1 year ago 2 minutes, 12 seconds 6,241 views",Habesha Times,6241,6258,17
48,"🔴 አርቲስት ሜላት ነብዩ እና ሄኖክ ድንቁ ተለያዩ💔 | ሜላት የተለያዩበትን ምክንያት ገለፀች | Melat Nebiyou & Henok Dinku by Habesha Times 1 year ago 10 minutes, 12 seconds 1,787 views",Habesha Times,1787,1796,9
49,"🔴 እንዳልክ በዛ ክፍት አፉ እራሱን አዋረደ😮 | ""ማታ በጣም ነው የበ*ውት"" | Endalk | JTV by Habesha Times 1 year ago 1 minute, 42 seconds 6,376 views",Habesha Times,6376,6451,75
50,"Ethiopia: ዘጠነኛው ሺ - የጩቢቲ አንፍር😂 ቀልዶች | Ye Chubaw Qeldoch (Part 10) by Habesha Times 1 year ago 14 minutes, 29 seconds 7,863 views",Habesha Times,7863,7963,100
51,"Ethiopia: ዘጠነኛው ሺ - ጩቢቲን የሚያስንቁ የውሮ እና የአቡ ቀልዶች😅 ሁለቱ አድክሞች | Huletu Adkimoch by Habesha Times 1 year ago 14 minutes, 37 seconds 1,957 views",Habesha Times,1957,1967,10
52,"Ethiopia: ዘጠነኛው ሺ - የጩቢቲ አንፍር😂 ቀልዶች | Ye Chubaw Qeldoch (Part 9) by Habesha Times 1 year ago 16 minutes 10,751 views",Habesha Times,10751,10896,145
53,"Abyssiniya Vine - Des Yilal | ደስ ይላል | New Ethiopian Music 2021 (Official Music) by Habesha Times 1 year ago 3 minutes, 13 seconds 6,844 views",Habesha Times,6844,6858,14
